imdb_id,domestic_distributor,domestic_opening,budget,mpaa,running_time,genres,domestic_revenue,international_revenue,worldwide_revenue
tt0092306,,0,0,,2 hr 23 min,Drama Romance,0,0,0
tt0060482,,0,0,,1 hr 50 min,Biography Drama History War,0,0,0
tt1345836,Warner Bros.,160887295,250000000,PG-13,2 hr 44 min,Action Drama Thriller,448149584,637120053,1085289416
tt1194173,Universal Pictures,38142825,125000000,PG-13,2 hr 15 min,Action Adventure Thriller,113203870,162940880,276144750
tt1691920,Magnolia Pictures,2729,0,R,2 hr 2 min,Drama,6361,9871,16232
tt1687247,National Geographic Entertainment,45202,0,PG-13,1 hr 35 min,Documentary Drama,252788,354381,607169
tt0348572,,0,0,,1 hr 40 min,Comedy,0,0,0
tt1515091,Warner Bros.,39637079,0,PG-13,2 hr 9 min,Action Adventure Mystery,186848418,357000000,543848418
tt0154467,,0,0,PG-13,1 hr 49 min,Drama Mystery Thriller,0,0,0
tt0113077,New Yorker Films,22106,0,,1 hr 40 min,Documentary Music,480941,0,480941
tt0006886,,0,0,,5 hr,Adventure Crime,0,0,0
tt0208178,,0,0,R,1 hr 40 min,Drama Romance,0,0,0
tt0190882,,0,0,,1 hr 45 min,Comedy Crime Drama,0,0,0
tt1706596,,0,0,,1 hr 56 min,Biography Drama,0,5772688,5772688
tt1742023,,0,0,,1 hr 45 min,Drama,0,204165,204165
tt1372686,The Weinstein Company,61136,0,R,2 hr 3 min,Drama Thriller War,757195,1678130,2435325
tt0049783,,0,0,,1 hr 28 min,Drama Romance War,0,0,0
tt0295168,,0,0,,1 hr 43 min,Comedy Drama,0,0,0
tt0061024,,0,0,Approved,1 hr 55 min,Action Adventure Western,0,0,0
tt1334555,,0,0,,1 hr 30 min,Documentary,0,0,0
tt1667905,Palisades Tartan,12608,0,,1 hr 15 min,Documentary,77016,11742,88758
tt0920460,,0,0,,1 hr 33 min,Drama Romance War,0,55897,55897
tt0071788,,0,0,,1 hr 29 min,Action Drama Romance,0,0,0
tt0043699,,0,0,,1 hr 26 min,Comedy,0,0,0
tt0436091,Strand Releasing,1010,0,,1 hr 55 min,Drama Music,12663,29901,42564
tt1666168,New Yorker Films,0,0,,1 hr 50 min,Crime Drama Fantasy,0,7226,7226
tt1113827,,0,0,,1 hr 29 min,Drama,0,0,0
tt1294212,,0,0,,1 hr 35 min,Drama,0,0,0
tt1865357,,0,0,,1 hr 50 min,Drama,0,0,0
tt0310313,,0,0,,1 hr 42 min,Drama Horror,0,18387,18387
tt0995857,,0,0,,1 hr 41 min,Comedy,0,3655844,3655844
tt0872245,,0,0,,1 hr 33 min,Drama,0,40034,40034
tt1625346,Paramount Pictures,310263,12000000,R,1 hr 34 min,Comedy Drama,16311571,6627456,22939027
tt0082241,,0,0,,1 hr 59 min,Comedy Drama,0,0,0
tt1389137,Twentieth Century Fox,9360434,0,PG,2 hr 4 min,Comedy Drama Family,75624550,44457291,120081841
tt1536410,,0,0,R,1 hr 43 min,Crime Drama Mystery Romance Thriller,0,93759,93759
tt1229238,Paramount Pictures,12785204,145000000,PG-13,2 hr 12 min,Action Adventure Thriller,209397903,485315477,694713380
tt0231627,,0,0,,2 hr 30 min,Action Animation,0,0,0
tt1598822,Warner Bros.,13019180,56000000,PG-13,1 hr 58 min,Comedy Romance,54544638,87500000,142044638
tt1459052,Strand Releasing,6718,0,,1 hr 22 min,Documentary,12008,10361,22369
tt0042665,,0,0,,1 hr 28 min,Comedy Drama Romance,0,0,0
tt0044370,,0,0,,1 hr 40 min,Comedy Musical Romance,0,0,0
tt1093357,Summit Entertainment,2993519,30000000,PG-13,1 hr 29 min,Action Adventure Horror Sci-Fi Thriller,21443494,43183292,64626786
tt1568346,Sony Pictures Releasing,12768604,90000000,R,2 hr 38 min,Crime Drama Mystery Thriller,102515793,130101637,232617430
tt1251743,IFC Films,7208,5500000,R,1 hr 36 min,Comedy Crime Drama Thriller,28468,60714,89182
tt1602098,Roadside Attractions,696088,0,R,1 hr 53 min,Drama Romance,3014696,4517563,7532259
